epoch,loss,nmi,ari,q,dbi
2,-0.00013201737601775676,0.31355623189698223,0.27452505634823715,0.6749829783775686,6.737832478870874
4,-0.0001389401004416868,0.3134214308863414,0.2769493610006536,0.674235634078842,6.697242810359685
6,-0.00014547228056471795,0.3142166998897627,0.27771516478297636,0.677126414237663,6.67356445941227
8,-0.00015257418272085488,0.31351854111321437,0.27667529032949867,0.6743393467712294,6.667831316083866
10,-0.00016148414579220116,0.3171681987068804,0.2781199710255072,0.6742984456512674,6.615349378249346
12,-0.0001738494902383536,0.3210129588548244,0.279353077965551,0.6761039344995228,6.583511901674094
14,-0.00019155250629410148,0.32131062467843163,0.2804869551872969,0.6744525186016845,6.486104272036778
16,-0.00021588960953522474,0.3290730375882345,0.29015257558337104,0.6742218555894627,6.367168029621385
18,-0.00024705237592570484,0.3340294947374165,0.2953848645031931,0.6753871152254286,6.313955977327189
20,-0.000284658424789086,0.3369871548639183,0.303671233358039,0.6841714934009964,6.167863199799925
22,-0.0003283312253188342,0.34529330296236493,0.31440227860006376,0.6919807116592178,5.94903464272489
24,-0.00037708875606767833,0.345347197715075,0.31614996193407635,0.6905437431083422,5.650571965799194
26,-0.00042795721674337983,0.34518781641203017,0.31685361279626106,0.6905651950821747,5.232087962004061
28,-0.00047725060721859336,0.35518984599169245,0.32825610557624846,0.6963241934250882,4.755027936021154
30,-0.0005244355415925384,0.3639573405044514,0.3451102114007539,0.7092462205917328,4.19795354890254
32,-0.0005728341639041901,0.36029854582843707,0.3490633401483593,0.7154902410651685,3.710762458698392
34,-0.0006171193090267479,0.36605538245706043,0.3558784448248159,0.7245187229159782,3.371321272579901
36,-0.0006558593595400453,0.3692310455187509,0.35823661356122355,0.7388159929315143,3.1280778679167667
38,-0.0006887629278935492,0.3693276579900716,0.35601988310546656,0.7472335640719543,2.831125207088345
40,-0.0007123031537048519,0.37265722057752343,0.36047344087619465,0.7539466323151955,2.622244787293912
42,-0.0007294879178516567,0.3719342652352724,0.35823255474375326,0.7616840142111001,2.509849687699061
44,-0.0007421299233101308,0.3713695175337019,0.3567813881736433,0.7650458449674297,2.42348125985103
46,-0.0007492994773201644,0.37335388378663414,0.35945196495010845,0.7683150871707833,2.389930231545018
48,-0.0007543201791122556,0.37377259034297516,0.3593407561108218,0.7713567067991512,2.3496989225614886
50,-0.0007581585668958724,0.37317797360964444,0.358842201178128,0.7729895422472133,2.2987317856353964
52,-0.0007605101563967764,0.3723615987411613,0.358561491773424,0.7739805076120966,2.2548748378049286
54,-0.0007598605589009821,0.3726220764118135,0.36033482434104497,0.7743084163549655,2.095371098038151
56,-0.000763954478316009,0.3712973097072047,0.3586913175286772,0.7746520340235544,2.0235579285425427
58,-0.0007617420633323491,0.37099356183430066,0.35796975141832166,0.7750298445458224,2.003532132427743
60,-0.0007543701212853193,0.3688949735481373,0.3550365889316368,0.7754605007629084,1.8281391204547015
62,-0.0007384378695860505,0.37022456363896766,0.35581712064475157,0.7757218094520341,1.521486299202548
64,-0.0007653681677766144,0.3679387566852624,0.3531212860371858,0.7750961067732062,1.5906368845969658
66,-0.0007731345249339938,0.37077209612082673,0.3562086375037515,0.7769598947989411,1.511437233852608
68,-0.0007739874417893589,0.3717863165921896,0.3575181545369337,0.778196435796776,1.5270906155952049
70,-0.0007761814049445093,0.3714402760102189,0.35658237449334956,0.7795453281896213,1.6450692400663405
72,-0.0007770428201183677,0.36992236611625867,0.3551093160885098,0.7800106357390173,1.6614621548394501
74,-0.0007786076748743653,0.36921328284948535,0.3542615417790529,0.7804487723969225,1.5561052298002238
76,-0.0007791855605319142,0.36911910394152353,0.3548624141530966,0.7808005702895037,1.5763052298212246
78,-0.0007792783435434103,0.3689794095403534,0.35430109800169923,0.7805240352837433,1.6458967748297966
80,-0.0007501946529373527,0.32169217211736645,0.279418202861342,0.7105087259583458,1.8230536560337416
82,-0.0007042016950435936,0.35366349765377375,0.341117343943107,0.7564631008676153,1.3022756845630672
84,-0.0007518629427067935,0.34857960559083023,0.33777272185139223,0.7715974322107975,0.9720605723771556
86,-0.0007685235468670726,0.34875528766587355,0.33863803254120795,0.7777463063031063,0.8688453998636972
88,-0.0007754691177979112,0.3500805620584134,0.33981075318351583,0.78006883839468,0.8844750489893635
90,-0.0007772655808366835,0.35014047555672934,0.33970994732119025,0.7811916284311575,0.8661495341761976
92,-0.000778377871029079,0.35102739670976607,0.3408662810088583,0.7820938902462001,0.8601919571708321
94,-0.0007790938834659755,0.3500318053128499,0.3393639188302444,0.7831011436677056,0.8739515764632839
96,-0.0007792559918016195,0.34948470886047445,0.33882047812052346,0.7831011436677056,0.8731057971039144
98,-0.0007798277656547725,0.3492062710217746,0.3379596002861327,0.7833233127600298,0.8752556248357448
100,-0.0007809798698872328,0.3491511770685192,0.3375624581319241,0.7843514390244656,0.8909830212163792
102,-0.0007825381471775472,0.34874135827464914,0.33677856566977293,0.7848791961894731,0.8989914748464655
104,-0.0007835060823708773,0.3484332943048128,0.337026627754711,0.7852204008126364,0.9221400947886179
106,-0.0007841733749955893,0.3479114977634783,0.33622060463918896,0.78575913733433,0.9338847156286413
108,-0.0007851743139326572,0.34865857882293605,0.33721473591591666,0.7864027689406692,0.9600239806270798
110,-0.0007856959127821028,0.3485142896447252,0.3365853615130814,0.7866705204610809,0.9963965520791659
112,-0.0007858579629100859,0.3478061672995423,0.33611811852505635,0.7866676248065703,1.0329812963542337
114,-0.0007633172208443284,0.2599787665150565,0.14756417899497867,0.6147603382587773,1.6868715841599673
116,-0.0005916517693549395,0.37149161160216426,0.34861153657051736,0.7288964940573448,1.1846120076537294
118,-0.0007256873650476336,0.3755355634377481,0.35267490180322764,0.7561391977801526,1.0349990527663002
120,-0.0007482141372747719,0.37527975120310625,0.35485994841195545,0.7626469399881394,0.9463726999701864
122,-0.0007578419172205031,0.3766405189659256,0.35595723452456646,0.7668006598617498,0.9021676096863374
124,-0.0007623271085321903,0.3771546791394736,0.3567617801686907,0.7688642963096235,0.8844347481376328
126,-0.0007641918491572142,0.3764548300395084,0.3564168270320148,0.7695469468604927,0.8792017867923562
128,-0.000764919095672667,0.37567349731788396,0.3555668793871114,0.7699186523778342,0.885949800973694
130,-0.0007654501823708415,0.3752577270653877,0.3545341519366255,0.7707060291001695,0.8985529742078053
132,-0.0007659307448193431,0.3753955605339057,0.35503603108036963,0.7710548106859689,0.906610392527386
134,-0.0007664451259188354,0.3767101596404477,0.3560193497590928,0.7712061086341467,0.904543997769595
136,-0.0007677963585592806,0.3764693569443594,0.35635153379622075,0.7717790621399736,0.9024631888536614
138,-0.0007692122017033398,0.37632897727084624,0.3561250953074406,0.7722209390182883,0.9021063619126355
140,-0.0007700658752582967,0.3752526366551397,0.354830842049844,0.7726563489348625,0.9048556683985984
142,-0.0007704423042014241,0.3750630669117091,0.3548583028617038,0.7727505059673648,0.8915553377860407
144,-0.0007710286881774664,0.3749305964551979,0.3545062264230636,0.7729389165541866,0.8700518282384528
146,-0.0007714368402957916,0.37482723547779,0.35465085036626043,0.7730331701085059,0.8340208578225987
148,-0.0007718959823250771,0.3744908011737757,0.3544969759266117,0.7730593757818267,0.8112594748603101
150,-0.0007721214788034558,0.3729937018352878,0.35347317083560753,0.7730853884115134,0.8067056839414812
152,-0.0007712557562626898,0.36275597558743544,0.33842747352864266,0.7625524933901859,0.8445140448179569
154,-0.0006594202131964266,0.34641920678790555,0.3238735784589816,0.754576943910786,0.9488735591561284
156,-0.0007552761235274374,0.34765478637789066,0.3279265832565067,0.7694958626888353,0.7418686234995493
158,-0.0007695841486565769,0.34765443633865034,0.3264087428418081,0.7723839402367796,0.6791772665649319
160,-0.0007719559944234788,0.3473335518048908,0.3253613711146225,0.7731695071750457,0.6699079178237322
162,-0.0007723750895820558,0.34722776074863976,0.3251259561559531,0.773213569384515,0.6722897583035479
164,-0.0007722798618488014,0.34643392498032044,0.3248776485032289,0.7734313949950735,0.6771592960735389
166,-0.000772646744735539,0.34664920120260334,0.3256222898372874,0.7731541843365939,0.6966842002115348
168,-0.0007724344031885266,0.34590148087291744,0.3251441179790541,0.7734892115634681,0.7396788731818751
170,-0.0007723363232798874,0.3466154624943654,0.3259305610883905,0.7721942024749738,0.7602971123721296
172,-0.0007688678451813757,0.3418387006888452,0.32156816798997717,0.7677631512906125,0.8175351540737148
174,-0.0007516992627643049,0.33482072223973364,0.3187746614788605,0.7656855915706339,0.6818627466569838
176,-0.000754775304812938,0.3291289454387082,0.3184255641532338,0.763970109316749,0.7409838023255122
178,-0.0007646633894182742,0.32982019206430413,0.32005979522829553,0.7700986173056668,0.6664680901160501
180,-0.0007672036299481988,0.3285014446898068,0.3158059135894908,0.7755414825673876,0.6166992156799336
182,-0.0007752960664220154,0.3247826471739492,0.3136396922585576,0.7764768272352136,0.5678095741477811
184,-0.000774826854467392,0.3255717522123437,0.3148170937203574,0.7755340021265686,0.5694786823692941
186,-0.0007754509570077062,0.32646589467507386,0.3135467173879009,0.7768221099051461,0.5807526684384812
188,-0.0007735565304756165,0.3262298285920162,0.31377031714721976,0.7743518994335328,0.6464178082403959
190,-0.0007717835251241922,0.3234060492053925,0.31260224476754306,0.7710287015344652,0.65615986138861
192,-0.0007690520724281669,0.3131139365897661,0.2993492741542689,0.7628089759884606,0.6216145781239442
194,-0.0007638116367161274,0.3163754493925745,0.3047360633194663,0.7644101764109945,0.5789732849099385
196,-0.0007657194510102272,0.31921516610126893,0.3083633385408945,0.7649209939971151,0.5647577487423343
198,-0.0007630379404872656,0.31896780589568,0.30865283748679345,0.7666183301494003,0.6018419784115518
200,-0.0007662405259907246,0.31715511897711374,0.30937550936422104,0.7676527544623967,0.6379851896120484
202,-0.0007671845960430801,0.31858726919786456,0.3110800471638452,0.7729101047918063,0.674494764367364
204,-0.0007723004673607647,0.3197370406277769,0.3119192777569864,0.7733830858256554,0.6787633012944926
206,-0.0007735902327112854,0.32013685896290717,0.31229154612686394,0.776711785468293,0.6827081602010275
208,-0.000775362248532474,0.32078032016192226,0.3132176865021935,0.7770641866222305,0.6576414346969126
210,-0.0007754293619655073,0.32172195270290455,0.3145742832209589,0.7761153047695677,0.6509813729590803
212,-0.0007742508896626532,0.3239386131225347,0.31624272741459236,0.7759408898462138,0.675601192459627
214,-0.0007736108382232487,0.3229798589031561,0.31418380137267987,0.7749565120953419,0.682973396752834
216,-0.0007649893523193896,0.3226623759195157,0.31064690016930613,0.7674096642662335,0.666742125618525
218,-0.0007595412898808718,0.3151557944494467,0.3024122836396181,0.7620979238929334,0.8466783431622433
220,-0.0007583593833260238,0.31778020190383205,0.3076197816162475,0.7650115073310251,0.6778181660248329
222,-0.0007613698253408074,0.3222124057924419,0.3121424297073099,0.7695238781462251,0.7003726030877785
224,-0.000770969083532691,0.3266074263778192,0.31611641575720845,0.7731117147371054,0.7003501080038024
226,-0.0007737816777080297,0.3255535736718842,0.315461236653737,0.7765380703281125,0.707983564724725
228,-0.0007752335513941944,0.3247211142925477,0.3157694568048558,0.7773929881919069,0.6855316456110576
230,-0.0007766855414956808,0.3252877586905011,0.3162826506117718,0.7787291879658143,0.6805460842837563
232,-0.0007768525974825025,0.32435225636205517,0.3146647429874648,0.7778852253282514,0.6785869092521959
234,-0.0007763728499412537,0.3261676929074998,0.31602185833106095,0.777756127397988,0.6685136064895897
236,-0.0007724825409241021,0.3280230468211428,0.31836565889079466,0.7742460150002625,0.6536392780144294
238,-0.0007602294790558517,0.3251332952880199,0.3177861341697241,0.7727233592063281,0.7205809888900809
240,-0.000765093369409442,0.3301517933455089,0.32343356934117423,0.76932019298186,0.7271516187461236
242,-0.000767247867770493,0.33279223172696853,0.32452069763090674,0.7756548715719311,0.706725966460859
244,-0.0007729582139290869,0.3300101502964249,0.3215085598002594,0.7744862336723695,0.6752774605292845
246,-0.0007727139163762331,0.3286917819998411,0.3211908029699031,0.7757803499340563,0.575677430083679
248,-0.0007731022196821868,0.32444770219134894,0.3171032012991609,0.7772743628787903,0.5590041136860756
